Date,GOOG
2019-12-11 05:00:00,67.2509994506836
2019-12-12 05:00:00,67.51349639892578
2019-12-13 05:00:00,67.3915023803711
2019-12-16 05:00:00,68.05850219726562
2019-12-17 05:00:00,67.75599670410156
2019-12-18 05:00:00,67.63099670410156
2019-12-19 05:00:00,67.802001953125
2019-12-20 05:00:00,67.47949981689453
2019-12-23 05:00:00,67.44200134277344
2019-12-24 05:00:00,67.1780014038086
2019-12-26 05:00:00,68.0199966430664
2019-12-27 05:00:00,67.59449768066406
2019-12-30 05:00:00,66.80699920654297
2019-12-31 05:00:00,66.85099792480469
2020-01-02 05:00:00,68.36849975585938
2020-01-03 05:00:00,68.03299713134766
2020-01-06 05:00:00,69.71050262451172
2020-01-07 05:00:00,69.66699981689453
2020-01-08 05:00:00,70.21600341796875
